Technique,Example
Initial Access: T1189 Drive-by Compromise,"Andariel has used watering hole attacks, often with zero-day exploits, to gain initial access to victims within a specific IP range."
Initial Access: T1189 Drive-by Compromise,APT19 performed a watering hole attack on forbes.com in 2014 to compromise targets.
Initial Access: T1189 Drive-by Compromise,APT28 has compromised targets via strategic web compromise utilizing custom exploit kits.
Initial Access: T1189 Drive-by Compromise,APT32 has infected victims by tricking them into visiting compromised watering hole websites.
Initial Access: T1189 Drive-by Compromise,"APT37 has used strategic web compromises, particularly of South Korean websites, to distribute malware. The group has also used torrent file-sharing sites to more indiscriminately disseminate malware to victims. As part of their compromises, the group has used a Javascript based profiler called RICECURRY to profile a victim's web browser and deliver malicious code accordingly."
Initial Access: T1189 Drive-by Compromise,APT38 has conducted watering holes schemes to gain initial access to victims.
Initial Access: T1189 Drive-by Compromise,Axiom has used watering hole attacks to gain access.
Initial Access: T1189 Drive-by Compromise,Bad Rabbit spread through watering holes on popular sites by injecting JavaScript into the HTML body or a .js file.
Initial Access: T1189 Drive-by Compromise,BRONZE BUTLER compromised three Japanese websites using a Flash exploit to perform watering hole attacks.
Initial Access: T1189 Drive-by Compromise,Bundlore has been spread through malicious advertisements on websites.
Initial Access: T1189 Drive-by Compromise,Dark Caracal leveraged a watering hole to serve up malicious code.
Initial Access: T1189 Drive-by Compromise,Darkhotel used embedded iframes on hotel login portals to redirect selected victims to download malware.
Initial Access: T1189 Drive-by Compromise,Dragonfly has compromised targets via strategic web compromise (SWC) utilizing a custom exploit kit.
Initial Access: T1189 Drive-by Compromise,Elderwood has delivered zero-day exploits and malware to victims by injecting malicious code into specific public Web pages visited by targets within a particular sector.
Initial Access: T1189 Drive-by Compromise,Grandoreiro has used compromised websites and Google Ads to bait victims into downloading its installer.
Initial Access: T1189 Drive-by Compromise,"KARAE was distributed through torrent file-sharing websites to South Korean victims, using a YouTube video downloader application as a lure."
Initial Access: T1189 Drive-by Compromise,Lazarus Group delivered RATANKBA and other malicious code to victims via a compromised legitimate website.
Initial Access: T1189 Drive-by Compromise,Leafminer has infected victims using watering holes.
Initial Access: T1189 Drive-by Compromise,Leviathan has infected victims using watering holes.
Initial Access: T1189 Drive-by Compromise,LoudMiner is typically bundled with pirated copies of Virtual Studio Technology (VST) for Windows and macOS.
Initial Access: T1189 Drive-by Compromise,Machete has distributed Machete through a fake blog website.
Initial Access: T1189 Drive-by Compromise,Magic Hound has conducted watering-hole attacks through media and magazine websites.
Initial Access: T1189 Drive-by Compromise,Patchwork has used watering holes to deliver files with exploits to initial victims.
Initial Access: T1189 Drive-by Compromise,PLATINUM has sometimes used drive-by attacks against vulnerable browser plugins.
Initial Access: T1189 Drive-by Compromise,POORAIM has been delivered through compromised sites acting as watering holes.
Initial Access: T1189 Drive-by Compromise,PROMETHIUM has used watering hole attacks to deliver malicious versions of legitimate installers.
Initial Access: T1189 Drive-by Compromise,REvil has infected victim machines through compromised websites and exploit kits.
Initial Access: T1189 Drive-by Compromise,"RTM has distributed its malware via the RIG and SUNDOWN exploit kits, as well as online advertising network Yandex.Direct."
Initial Access: T1189 Drive-by Compromise,Threat Group-3390 has extensively used strategic web compromises to target victims.
Initial Access: T1189 Drive-by Compromise,"Transparent Tribe has used websites with malicious hyperlinks and iframes to infect targeted victims with Crimson, njRAT, and other malicious tools."
Initial Access: T1189 Drive-by Compromise,Turla has infected victims using watering holes.
Initial Access: T1189 Drive-by Compromise,Windigo has distributed Windows malware via drive-by downloads.
Initial Access: T1189 Drive-by Compromise,Windshift has used compromised websites to register custom URL schemes on a remote system.
Initial Access: T1190 Exploit Public-Facing Application,"APT28 has used a variety of public exploits, including CVE 2020-0688 and CVE 2020-17144, to gain execution on vulnerable Microsoft Exchange; they have also conducted SQL injection attacks against external websites."
Initial Access: T1190 Exploit Public-Facing Application,"APT29 has exploited CVE-2019-19781 for Citrix, CVE-2019-11510 for Pulse Secure VPNs, CVE-2018-13379 for FortiGate VPNs, and CVE-2019-9670 in Zimbra software to gain access. They have also exploited CVE-2020-0688 against the Microsoft Exchange Control Panel to regain access to a network."
Initial Access: T1190 Exploit Public-Facing Application,APT39 has used SQL injection for initial compromise.
Initial Access: T1190 Exploit Public-Facing Application,"APT41 exploited CVE-2020-10189 against Zoho ManageEngine Desktop Central, and CVE-2019-19781 to compromise Citrix Application Delivery Controllers (ADC) and gateway devices."
Initial Access: T1190 Exploit Public-Facing Application,Axiom has been observed using SQL injection to gain access to systems.
Initial Access: T1190 Exploit Public-Facing Application,"BackdoorDiplomacy has exploited CVE-2020-5902, an F5 BIP-IP vulnerability, to drop a Linux backdoor. BackdoorDiplomacy has also exploited mis-configured Plesk servers."
Initial Access: T1190 Exploit Public-Facing Application,"BlackTech has exploited a buffer overflow vulnerability in Microsoft Internet Information Services (IIS) 6.0, CVE-2017-7269, in order to establish a new HTTP or command and control (C2) server."
Initial Access: T1190 Exploit Public-Facing Application,"Blue Mockingbird has gained initial access by exploiting CVE-2019-18935, a vulnerability within Telerik UI for ASP.NET AJAX."
Initial Access: T1190 Exploit Public-Facing Application,"Dragonfly has conducted SQL injection attacks, exploited vulnerabilities CVE-2019-19781 and CVE-2020-0688 for Citrix and MS Exchange, and CVE-2018-13379 for Fortinet VPNs."
Initial Access: T1190 Exploit Public-Facing Application,"Fox Kitten has exploited known vulnerabilities in Fortinet, PulseSecure, and Palo Alto VPN appliances."
Initial Access: T1190 Exploit Public-Facing Application,GALLIUM exploited a publicly-facing servers including Wildfly/JBoss servers to gain access to the network.
Initial Access: T1190 Exploit Public-Facing Application,GOLD SOUTHFIELD has exploited Oracle WebLogic vulnerabilities for initial compromise.
Initial Access: T1190 Exploit Public-Facing Application,"HAFNIUM has exploited CVE-2021-26855, CVE-2021-26857, CVE-2021-26858, and CVE-2021-27065 to compromise on-premises versions of Microsoft Exchange Server, enabling access to email accounts and installation of additional malware."
Initial Access: T1190 Exploit Public-Facing Application,Havij is used to automate SQL injection.
Initial Access: T1190 Exploit Public-Facing Application,"Ke3chang has compromised networks by exploiting Internet-facing applications, including vulnerable Microsoft Exchange and SharePoint servers."
Initial Access: T1190 Exploit Public-Facing Application,"Kimsuky has exploited various vulnerabilities for initial access, including Microsoft Exchange vulnerability CVE-2020-0688."
Initial Access: T1190 Exploit Public-Facing Application,Magic Hound has used open-source JNDI exploit kits to leverage the Log4j (CVE-2021-44228) vulnerability.
Initial Access: T1190 Exploit Public-Facing Application,menuPass has leveraged vulnerabilities in Pulse Secure VPNs to hijack sessions.
Initial Access: T1190 Exploit Public-Facing Application,Night Dragon has performed SQL injection attacks of extranet web servers to gain access.
Initial Access: T1190 Exploit Public-Facing Application,Operation Wocao has gained initial access via vulnerable webservers.
Initial Access: T1190 Exploit Public-Facing Application,"Rocke exploited Apache Struts, Oracle WebLogic (CVE-2017-10271), and Adobe ColdFusion (CVE-2017-3066) vulnerabilities to deliver malware."
Initial Access: T1190 Exploit Public-Facing Application,Siloscape is executed after the attacker gains initial access to a Windows container using a known vulnerability.
Initial Access: T1190 Exploit Public-Facing Application,SoreFang can gain access by exploiting a Sangfor SSL VPN vulnerability that allows for the placement and delivery of malicious update binaries.
Initial Access: T1190 Exploit Public-Facing Application,sqlmap can be used to automate exploitation of SQL injection vulnerabilities.
Initial Access: T1190 Exploit Public-Facing Application,"Threat Group-3390 has exploited the Microsoft SharePoint vulnerability CVE-2019-0604 and CVE-2021-26855, CVE-2021-26857, CVE-2021-26858, and CVE-2021-27065 in Exchange Server."
Initial Access: T1190 Exploit Public-Facing Application,"Volatile Cedar has targeted publicly facing web servers, with both automatic and manual vulnerability discovery."
Initial Access: T1190 Exploit Public-Facing Application,"ZxShell has been dropped through exploitation of CVE-2011-2462, CVE-2013-3163, and CVE-2014-0322."
Initial Access: T1133 External Remote Services,APT18 actors leverage legitimate credentials to log into external remote services.
Initial Access: T1133 External Remote Services,APT28 has used Tor and a variety of commercial VPN services to route brute force authentication attempts.
Initial Access: T1133 External Remote Services,"APT29 has used compromised identities to access networks via SSH, VPNs, and other remote access tools."
Initial Access: T1133 External Remote Services,APT41 compromised an online billing/payment service using VPN access between a third-party service provider and the targeted payment service.
Initial Access: T1133 External Remote Services,"Chimera has used legitimate credentials to login to an external VPN, Citrix, SSH, and other remote services."
Initial Access: T1133 External Remote Services,Doki was executed through an open Docker daemon API port.
Initial Access: T1133 External Remote Services,Dragonfly has used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.
Initial Access: T1133 External Remote Services,"FIN5 has used legitimate VPN, Citrix, or VNC credentials to maintain access to a victim environment."
Initial Access: T1133 External Remote Services,"GALLIUM has used VPN services, including SoftEther VPN, to access and maintain persistence in victim environments."
Initial Access: T1133 External Remote Services,GOLD SOUTHFIELD has used publicly-accessible RDP and remote management and monitoring (RMM) servers to gain access to victim machines.
Initial Access: T1133 External Remote Services,Hildegard was executed through an unsecure kubelet that allowed anonymous access to the victim environment.
Initial Access: T1133 External Remote Services,Ke3chang has gained access through VPNs including with compromised accounts and stolen VPN certificates.
Initial Access: T1133 External Remote Services,Kimsuky has used RDP to establish persistence.
Initial Access: T1133 External Remote Services,Kinsing was executed in an Ubuntu container deployed via an open Docker daemon API.
Initial Access: T1133 External Remote Services,Leviathan has used external remote services such as virtual private networks (VPN) to gain initial access.
Initial Access: T1133 External Remote Services,Linux Rabbit attempts to gain access to the server via SSH.
Initial Access: T1133 External Remote Services,Night Dragon has used compromised VPN accounts to gain access to victim systems.
Initial Access: T1133 External Remote Services,"OilRig uses remote services such as VPN, Citrix, or OWA to persist in an environment."
Initial Access: T1133 External Remote Services,Operation Wocao has used stolen credentials to connect to the victim's network via VPN.
Initial Access: T1133 External Remote Services,Sandworm Team has used Dropbear SSH with a hardcoded backdoor password to maintain persistence within the target network. Sandworm Team has also used VPN tunnels established in legitimate software company infrastructure to gain access to internal networks of that software company's users.
Initial Access: T1133 External Remote Services,TeamTNT has used open-source tools such as Weave Scope to target exposed Docker API ports and gain initial access to victim environments. TeamTNT has also targeted exposed kubelets for Kubernetes environments.
Initial Access: T1133 External Remote Services,TEMP.Veles has used a VPN to persist in the victim environment.
Initial Access: T1133 External Remote Services,Threat Group-3390 actors look for and use VPN profiles during an operation to access the network using external VPN services. Threat Group-3390 has also obtained OWA account credentials during intrusions that it subsequently used to attempt to regain access when evicted from a victim network.
Initial Access: T1133 External Remote Services,Wizard Spider has accessed victim networks by using stolen credentials to access the corporate VPN infrastructure.
Initial Access: T1566 Phishing,Axiom has used spear phishing to initially compromise victims.
Initial Access: T1566 Phishing,GOLD SOUTHFIELD has conducted malicious spam (malspam) campaigns to gain access to victim's machines.
Initial Access: T1566 Phishing,Hikit has been spread through spear phishing.
Initial Access: T1091 Replication Through Removable Media,"Agent.btz drops itself onto removable media devices and creates an autorun.inf file with an instruction to run that file. When the device is inserted into another system, it opens autorun.inf and loads the malware."
Initial Access: T1091 Replication Through Removable Media,APT28 uses a tool to infect connected USB devices and transmit itself to air-gapped computers when the infected USB device is inserted.
Initial Access: T1091 Replication Through Removable Media,Part of APT28's operation involved using CHOPSTICK modules to copy itself to air-gapped machines and using files written to USB sticks to transfer data and command traffic.
Initial Access: T1091 Replication Through Removable Media,Conficker variants used the Windows AUTORUN feature to spread through USB propagation.
Initial Access: T1091 Replication Through Removable Media,Crimson can spread across systems by infecting removable media.
Initial Access: T1091 Replication Through Removable Media,Darkhotel's selective infector modifies executables stored on removable media as a method of spreading across computers.
Initial Access: T1091 Replication Through Removable Media,DustySky searches for removable media and duplicates itself onto it.
